P41932	CPX-3884
P41932	CPX-3886
Q20655	CPX-3882
Q20655	CPX-3885
P63104	CPX-1147
P63101	CPX-1148
O18178	CPX-1367
P38903	CPX-1857
P38903	CPX-1858
Q09543	CPX-1357
Q09543	CPX-1361
Q09543	CPX-1366
Q09543	CPX-1367
Q09543	CPX-1368
Q09543	CPX-1373
Q09543	CPX-1375
Q09543	CPX-1376
P36179	CPX-2237
P36179	CPX-2293
P36179	CPX-2294
P36179	CPX-2301
P31383	CPX-1856
P31383	CPX-1857
P31383	CPX-1858
P31383	CPX-1859
G5EDR3	CPX-1366
P36872	CPX-2293
Q00362	CPX-1856
Q00362	CPX-1859
P08195	CPX-8185
P08195	CPX-8186
P08195	CPX-8187
P08195	CPX-8188
P08195	CPX-8189
P08195	CPX-8190
P46098	CPX-2175
P46098	CPX-271
P46098	CPX-272
P46098	CPX-273
P46098	CPX-276
P23979	CPX-274
P23979	CPX-275
P35563	CPX-277
P35563	CPX-278
O95264	CPX-271
Q9JHJ5	CPX-275
Q9JJ16	CPX-277
Q8WXA8	CPX-276
Q70Z44	CPX-272
A5X5Y0	CPX-273
Q19124	CPX-3863
Q19124	CPX-3865
Q676U5	CPX-200
Q8C0J2	CPX-328
Q09406	CPX-3863
Q09406	CPX-3866
Q8NAA4	CPX-354
Q6KAU8	CPX-355
Q9NQ94	CPX-1097
Q5YD48	CPX-1098
P05067	CPX-1062
P05067	CPX-1069
P05067	CPX-1070
P05067	CPX-1120
P05067	CPX-1134
P05067	CPX-1180
P12023	CPX-1105
P12023	CPX-1106
P12023	CPX-1107
P12023	CPX-1121
P12023	CPX-1139
P12023	CPX-1181
P08592	CPX-1108
P08592	CPX-1109
P08592	CPX-1110
P08592	CPX-1182
P08592	CPX-1183
P08592	CPX-1184
Q9NS82	CPX-8189
Q9W351	CPX-2568
Q9NRG9	CPX-873
P58742	CPX-4474
Q9Y478	CPX-5633
Q9Y478	CPX-5786
Q9Y478	CPX-5787
Q9Y478	CPX-5842
Q9Y478	CPX-5843
Q9Y478	CPX-5844
Q9R078	CPX-5698
Q9R078	CPX-5849
Q9R078	CPX-5852
Q9R078	CPX-5856
Q9R078	CPX-5857
Q9R078	CPX-5858
O43741	CPX-5790
O43741	CPX-5791
O43741	CPX-5840
O43741	CPX-5841
O43741	CPX-5845
O43741	CPX-5846
Q6PAM0	CPX-5851
Q6PAM0	CPX-5853
Q6PAM0	CPX-5854
Q6PAM0	CPX-5855
Q6PAM0	CPX-5859
Q6PAM0	CPX-5860
P54619	CPX-5633
P54619	CPX-5787
P54619	CPX-5790
P54619	CPX-5791
O54950	CPX-5698
O54950	CPX-5851
O54950	CPX-5852
O54950	CPX-5853
Q9UGJ0	CPX-5786
Q9UGJ0	CPX-5844
Q9UGJ0	CPX-5845
Q9UGJ0	CPX-5846
Q91WG5	CPX-5849
Q91WG5	CPX-5858
Q91WG5	CPX-5859
Q91WG5	CPX-5860
Q9UGI9	CPX-5840
Q9UGI9	CPX-5841
Q9UGI9	CPX-5842
Q9UGI9	CPX-5843
Q8BGM7	CPX-5854
Q8BGM7	CPX-5855
Q8BGM7	CPX-5856
Q8BGM7	CPX-5857
P12904	CPX-231
P12904	CPX-232
P12904	CPX-2800
Q13131	CPX-5633
Q13131	CPX-5786
Q13131	CPX-5791
Q13131	CPX-5841
Q13131	CPX-5842
Q13131	CPX-5846
Q5EG47	CPX-5698
Q5EG47	CPX-5849
Q5EG47	CPX-5853
Q5EG47	CPX-5855
Q5EG47	CPX-5856
Q5EG47	CPX-5860
P54646	CPX-5787
P54646	CPX-5790
P54646	CPX-5840
P54646	CPX-5843
P54646	CPX-5844
P54646	CPX-5845
Q8BRK8	CPX-5851
Q8BRK8	CPX-5852
Q8BRK8	CPX-5854
Q8BRK8	CPX-5857
Q8BRK8	CPX-5858
Q8BRK8	CPX-5859
P32357	CPX-30
Q22397	CPX-4311
Q9NY61	CPX-2511
Q09428	CPX-195
Q09429	CPX-186
O60706	CPX-197
O60706	CPX-199
P70170	CPX-196
P70170	CPX-198
Q63563	CPX-181
Q63563	CPX-185
P41238	CPX-1097
P51908	CPX-1098
P14164	CPX-1709
P77357	CPX-28
P76052	CPX-28
Q6UWZ7	CPX-4425
Q8BPZ8	CPX-4702
Q9H845	CPX-6322
P0ABD5	CPX-3206
P24182	CPX-3206
P0A9Q5	CPX-3206
Q96AP0	CPX-152
Q5EE38	CPX-153
Q9BYF1	CPX-5683
Q9BYF1	CPX-5684
Q9BYF1	CPX-5695
Q9BYF1	CPX-8192
Q9I8C7	CPX-225
Q9GZZ6	CPX-2171
Q9JLB5	CPX-224
P09480	CPX-179
P09480	CPX-184
Q15822	CPX-2170
Q15822	CPX-2190
Q91X60	CPX-174
Q91X60	CPX-182
P12389	CPX-178
P12389	CPX-183
P09481	CPX-192
P09481	CPX-193
P09481	CPX-201
P09481	CPX-206
P09481	CPX-207
P09481	CPX-214
P32297	CPX-187
P32297	CPX-210
P32297	CPX-213
P32297	CPX-2192
P32297	CPX-2193
P32297	CPX-2200
Q8R4G9	CPX-188
Q8R4G9	CPX-189
Q8R4G9	CPX-202
Q8R4G9	CPX-204
Q8R4G9	CPX-209
